file_path,thumbnail,set_key,langs
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/032.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/032-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/033.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/033-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/034.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/034-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/035.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/035-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/036.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/036-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/037.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/037-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/038.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/038-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/039.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/039-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/040.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/040-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/041.jpg,https://skillnet.hum.uu.nl/data/enfr/John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550/041-thumb.jpg,John-Locke-et-al-Some-Familiar-Letters-between-Mr-Locke-and-Several-of-his-Friends-London-1708-11-550,EN;FR;LAT
