file_path,thumbnail,set_key,langs,width,height,hide
https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/145.jpg,https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/145-thumb.jpg,Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358,LAT;IT,1998,3000,
https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/146.jpg,https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/146-thumb.jpg,Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358,LAT;IT,1984,3000,
https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/147.jpg,https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/147-thumb.jpg,Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358,LAT;IT,2014,3000,
https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/148.jpg,https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/148-thumb.jpg,Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358,LAT;IT,2002,3000,
https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/149.jpg,https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/149-thumb.jpg,Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358,LAT;IT,2038,3000,
https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/150.jpg,https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/150-thumb.jpg,Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358,LAT;IT,1983,3000,
https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/151.jpg,https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/151-thumb.jpg,Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358,LAT;IT,1997,3000,
https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/152.jpg,https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/152-thumb.jpg,Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358,LAT;IT,1995,3000,
https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/153.jpg,https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/153-thumb.jpg,Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358,LAT;IT,2009,3000,
https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/154.jpg,https://skillnet.hum.uu.nl/data/A/Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358/154-thumb.jpg,Andreas-Naugerius-Opera-omnia-Venice-1754-118-178-and-323-358,LAT;IT,1992,3000,
